,cast,director,runtime,genres,production_companies,budget_adj,revenue_adj
1599,Robert Downey Jr.|Jamie Foxx|Catherine Keener|Nelsan Ellis|Michael Bunin,Joe Wright,109,Drama,DreamWorks,60984026.05,32240382.36
1600,Seth MacFarlane|Alex Borstein|Seth Green|Mila Kunis|H. Jon Benjamin,Dominic Polcino,44,Science Fiction|Animation|Comedy,20th Century Fox Television,0.0,0.0
1601,Derek Mears|Jared Padalecki|Danielle Panabaker|Amanda Righetti|Travis Van Winkle,Marcus Nispel,97,Horror,New Line Cinema,19311608.25,92877707.11
1603,Harrison Ford|Ray Liotta|Ashley Judd|Jim Sturgess|Cliff Curtis,Wayne Kramer,113,Drama,"Kennedy/Marshall Company, The|Movie Prose|C.O. Films",25410010.85,1054347.744
1604,Tony Goldwyn|Monica Potter|Sara Paxton|Martha MacIsaac|Spencer Treat Clark,Dennis Iliadis,110,Crime|Thriller|Horror|Drama,Rogue Pictures|Film Afrika|Sean S. Cunningham Films,0.0,0.0
1605,Naomi Watts|Samuel L. Jackson|Annette Bening|Carla Gallo|Kerry Washington,Rodrigo GarcÃ­a,125,Drama|Romance,Mockingbird Pictures|Everest Entertainment,7114803.039,0.0
1606,Michael Sinterniklaas|Wayne Grayson|Sam Riegel|Frank Frankson|Darren Dunstan,Roy Burdine|Lloyd Goldfine,78,Science Fiction|Adventure|Animation|Action|Family,Dong Woo Animation,0.0,0.0
1607,Michael Caine|Emily Mortimer|Iain Glen|Lee Oakes|Liam Cunningham,Daniel Barber,103,Thriller|Crime|Drama|Action,HanWay Films|UK Film Council|Marv Films,7419723.169,10499159.34
1608,Bruce Willis|Radha Mitchell|Rosamund Pike|James Cromwell|Ving Rhames,Jonathan Mostow,89,Action|Science Fiction|Thriller,Touchstone Pictures|Mandeville Films|Wintergreen Productions|Top Shelf Productions,81312034.73,124452919.4
1610,Michael Jai White|Julian Sands|Eamonn Walker|Dante Basco|Nona Gaye,Ben Ramsey,93,Drama|Action|Thriller,Michael Mailer Films|Remarkable Films,3760681.606,0.0
1611,Lindsay Lohan|Aaron Yoo|Cheryl Hines|Janeane Garofalo|Bonnie Somerville,Lara Shapiro,89,Comedy|Romance,nu image films|Millennium Films|Overnight Films,0.0,0.0
1612,Kristin Kreuk|Chris Klein|Neal McDonough|Michael Clarke Duncan|Moon Bloodgood,Andrzej Bartkowiak,97,Action|Adventure|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Hyde Park Films,50820021.71,12973539.44
1613,Emma Roberts|Jake T. Austin|Don Cheadle|Johnny Simmons|Kyla Pratt,Thor Freudenthal,100,Comedy|Family,DreamWorks SKG|Nickelodeon Movies,35574015.19,74232256.85
1614,Paul Bettany|Jennifer Connelly|Martha West|Jeremy Northam|Toby Jones,Jon Amiel,108,Drama|History,BBC Films|HanWay Films|UK Film Council|Ocean Pictures|Recorded Picture Company (RPC),0.0,0.0
1615,Sarah Michelle Gellar|David Thewlis|Jonathan Tucker|Erika Christensen|Melissa Leo,Emily Young,103,Drama|Romance,Velvet Steamroller Entertainment|Dash Films|Future Films|Muse Productions|PalmStar Media,9147603.907,0.0
1616,Kelly Sheridan|Anna Cummer|Kelly Metzger|Tabitha St. Germain|Cathy Weseluck,Conrad Helten,75,Animation|Family,Rainmaker Entertainment,0.0,0.0
1617,Luke Mably|Adar Beck|Chris Carey|Gemma Chan|Nathalie Cox,Stuart Hazeldine,101,Thriller|Mystery,Hazeldine Films|Bedlam Productions,0.0,0.0
1618,BeyoncÃ© Knowles|Idris Elba|Ali Larter|Jerry O'Connell|Bonnie Perlman,Steve Shill,108,Drama|Thriller,Sony Pictures,20328008.68,75041189.63
1619,Vincent Gallo|Maribel VerdÃº|Klaus Maria Brandauer|Alden Ehrenreich|Silvia PÃ©rez,Francis Ford Coppola,127,Drama|Mystery,American Zoetrope|BIM Distribuzione|Tornasol Films|Zoetrope Argentina,15246006.51,115077.8736
1620,David Anders|Kandyse McClure|Daniel Newman|Preston Bailey|Lexie Behr,Donald P. Borchers,92,Drama|Horror|Thriller,Children of the Corn Productions,4573801.954,0.0
1621,Steven Seagal|Luce Rains|Liezl Carstens|Kisha Sierra|Arron Shiver,Keoni Waxman,94,Action|Adventure|Thriller,Steamroller Productions,10164004.34,0.0
1622,James Corden|Mathew Horne|Paul McGann|MyAnna Buring|Vera Filatova,Phil Claydon,86,Horror|Comedy,AV Pictures,0.0,0.0
1623,Ray Winstone|John Hurt|Ian McShane|Tom Wilkinson|Joanne Whalley,Malcolm Venville,95,Drama|Crime,IM Global|Anonymous Content|Passenger|Twilight Production & Entertainment|Omni Films,0.0,0.0
1624,Catherine Bell|Chris Potter|Matthew Knight|Hannah Endicott-Douglas|Catherine Disher,Craig Pryce,85,TV Movie|Comedy|Family|Fantasy|Romance,The Hallmark Channel|Whizbang Films Inc.,0.0,0.0
1625,Ellen Page|Landon Pigg|Drew Barrymore|Sarah Habel|Shannon Eagen,Drew Barrymore,111,Drama,Mandate Pictures|Vincent Pictures,15246006.51,16905823.99
1626,Jay Baruchel|Emily Hampshire|GeneviÃ¨ve Bujold|Colm Feore|Jessica ParÃ©,Jacob Tierney,120,Comedy,The Harold Greenberg Fund,6504962.778,0.0
1627,Juliette Lewis|Udo Kier|Stellan SkarsgÃ¥rd|Shanti Roney|Vincent Gallo,Tarik Saleh,86,Animation|Drama|Science Fiction|Thriller,Atmo Media Network,5143728.169,0.0
1628,Peter Capaldi|Tom Hollander|Gina McKee|James Gandolfini|Chris Addison,Armando Iannucci,106,Comedy,BBC Films|Aramid Entertainment Fund,0.0,6250650.242
1629,Michael Jackson|Orianthi|Kenny Ortega|Dorian Holley|Patrick Woodroffe,Kenny Ortega,111,Music|Documentary,Columbia Pictures,60984026.05,0.0
1630,Adam Scott|Brittany Snow|Alex Frost|J.K. Simmons|Vittorio Brahm,Lee Toland Krieger,92,Comedy|Drama,72nd Street Productions|Candleridge Entertainment,0.0,0.0
1631,James McAvoy|Christopher Plummer|Helen Mirren|Paul Giamatti|Anne-Marie Duff,Michael Hoffman,112,Drama|Romance,Zephyr Films|Egoli Tossell Film,0.0,0.0
1633,Christian Slater|Emmanuelle Vaugier|Wes Bentley|Robert Benz|Darla Biccum,Jeff Beesley,81,Drama|Thriller,Prescience|Minds Eye Entertainment|Footprint Investments,10164004.34,0.0
1634,Emily Osment|David Henrie|Jason Earles|Jonathan Keltz,Paul Hoen,84,TV Movie|Action|Adventure|Comedy|Family,Salty Pictures,0.0,0.0
1635,Isaach De BankolÃ©|Tilda Swinton|Bill Murray|Gael GarcÃ­a Bernal|John Hurt,Jim Jarmusch,116,Crime|Drama|Thriller|Mystery,PointBlank Films,0.0,0.0
1636,Hilary Duff|Evan Ross|Ellen Burstyn|Michael Murphy|Tsianina Joelson,Nancy Bardawil,92,Drama|Romance,Whitewater Films|Rafter H Entertainment,0.0,0.0
1637,James Purefoy|Pete Postlethwaite|Alice Krige|Mackenzie Crook|Max von Sydow,Michael J. Bassett,104,Adventure|Fantasy|Action|Science Fiction,Davis-Films|Czech Anglo Productions|Wandering Star Pictures,45738019.54,7938087.391
1638,50 Cent|Tamer Hassan|Danny Dyer|Blake Ritson|EsmÃ© Bianco,Alex De Rakoff,92,Action|Crime|Drama|Thriller,Next Generation TV & Film|P&T Productions,0.0,0.0
1639,Alan van Sprang|Kenneth Welsh|Kathleen Munroe|Devon Bostick|Richard Fitzpatrick,George A. Romero,90,Horror|Science Fiction,Devonshire Productions|Artfire Films|New Romero|Sudden Storm Productions|Blank of the Dead Productions,4065601.736,145539.3946
1640,Shoshana Bush|Damon Wayans Jr.|Essence Atkins|Chris Elliott|David Alan Grier,Damien Dante Wayans,83,Action|Comedy|Music,Paramount Pictures|MTV Films|Wayans Bros. Entertainment,0.0,0.0
1641,Cuba Gooding Jr.|Ray Winstone|Ron Perlman|Taryn Manning|Stephanie Jacobsen,Jason Connery,90,Action|Horror|Thriller|Science Fiction,Ice Cold Productions|Empyreal Entertainment|Ringleader Studios,10164004.34,0.0
1642,Andrew Garfield|David Morrissey|John Henshaw|Anthony Flanagan|Warren Clarke,Julian Jarrold,102,Thriller|Mystery|Crime|Drama,Revolution Films|Channel Four Films|Screen Yorkshire|Lipsync Productions,0.0,0.0
1643,Kelly Sheridan|Tim Curry|Kira Tozer|Willow Johnson|Dorla Bell,William Lau,81,Animation|Family,Mainframe Entertainment,0.0,0.0
1644,Hugh Jackman|Liev Schreiber|Danny Huston|Lynn Collins|Ryan Reynolds,Gavin Hood,107,Adventure|Action|Thriller|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Donners' Company|Dune Entertainment|Seed Productions,152460065.1,346726502.5
1645,Randy Quaid|Seann William Scott|Leonor Varela|Allen Evangelista|Emilee Wallace,Danny Leiner,87,Comedy,O.N.C. Entertainment,0.0,0.0
1646,Seth Rogen|Reese Witherspoon|Hugh Laurie|Will Arnett|Kiefer Sutherland,Peter Ramsey,27,TV Movie|Animation|Family|Comedy,DreamWorks Animation,0.0,0.0
1647,Gael GarcÃ­a Bernal|Michelle Williams|Marife Necesito|Sophie Nyweide|Tom McCarthy,Lukas Moodysson,125,Drama|Romance,Zentropa Entertainments|Memfis Film|TV2 Danmark|Sveriges Television (SVT)|Film i VÃ¤st,10164004.34,0.0
1648,Daveigh Chase|Elizabeth Berkley|Briana Evigan|James Lafferty|Ed Westwick,Chris Fisher,103,Thriller|Crime|Science Fiction|Mystery,Adam Fields Productions,4065601.736,4167241.78
1649,Wentworth Miller|Sarah Wayne Callies|Dominic Purcell|Jodi Lyn O'Keefe|Amaury Nolasco,Kevin Hooks|Brad Turner,89,Action|Drama|Thriller,SF Film|20th Century Fox Television,0.0,0.0
1650,G.K. Bowes|Kelly Brewster|Doug Erholtz|Jennie Fahn|Helen Niedwick,Steven E. Gordon|Boyd Kirkland,75,Family|Animation,Scanbox,0.0,0.0
1652,Rooney Mara|Georgia King|Brie Larson|Amy Ferguson|Antonia Steinberg,Francesca Gregorini|Tatiana von Furstenberg,96,Drama,Tax Credit Finance,0.0,0.0
1653,Michael Jai White|Arsenio Hall|Tommy Davidson|Kevin Chapman|Richard Edson,Scott Sanders,90,Action|Comedy,Destination Films|Six Point Harness|Ars Nova|Goliath Entertainment,2947561.259,301420.6635
1654,Val Kilmer|Martha MacIsaac|Aaron Ashmore|Kyle Schmid|Anne Marie DeLuise,Mark A. Lewis,90,Horror|Science Fiction|Thriller,Brightlight Pictures|Anagram Pictures Inc.|Telefilm Canada|Corus Entertainment|Etch Media,0.0,0.0
1655,Andy GarcÃ­a|Julianna Margulies|Steven Strait|Dominik GarcÃ­a-Lorido|Ezra Miller,Raymond De Felitta,104,Drama|Comedy,Lucky Monkey Pictures|CineSon Entertainment|Filmsmith Productions|Medici Entertainment|Gremi Film Production,6098402.605,6780114.573
1656,Helena Bonham Carter|Rob Brydon|Robbie Coltrane|James Corden|John Hurt,Max Lang|Jakob Schuh,27,Animation|Family,Magic Light Pictures,0.0,0.0
1657,Evan McGuire|Brendan Gleeson|Liam Hourican|Mick Lally|Michael McGrath,Tomm Moore|Nora Twomey,75,Animation|Family|Fantasy,GÃ©bÃ©ka Films|Cartoon Saloon,0.0,0.0
1658,Hilary Swank|Richard Gere|Aaron Abrams|Ewan McGregor|Christopher Eccleston,Mira Nair,111,Drama|Adventure|Romance,Fox Searchlight Pictures|AE Electra Productions|Avalon Pictures,40656017.36,19574367.07
1659,Stephen Amell|Greg Bryk|Stephen Patrick Dunn|Lynley Hall|Lance Henriksen,Sheldon Wilson,94,Action|Horror|Science Fiction,Pope Productions,0.0,0.0
1660,Liya Kebede|Sally Hawkins|Craig Parkinson|Meera Syal|Anthony Mackie,Sherry Hormann,120,Drama,Desert Flower Filmproductions|Desert Flower|Backup Films|Torus,0.0,45075.32645
1661,Tony Fucile|Lori Richardson,Peter Sohn,5,Adventure|Animation|Comedy|Family|Fantasy,Pixar Animation Studios,0.0,0.0
1662,Josef Hader|Josef Bierbichler|Birgit Minichmayr|Christoph Luser|Pia Hierzegger,Wolfgang Murnberger,117,Crime|Thriller|Comedy,Dor Film Produktionsgesellschaft GmbH,0.0,0.0
1663,Samuel L. Jackson|Lucy Liu|Mark Hamill|Grey Griffin|Zachary Gordon,Fuminori Kizaki,91,Animation,Fuji TV,0.0,0.0
1664,Gillian Anderson|Heather Graham|Amanda Seyfried|Alan Cumming|Danny Huston,Duncan Ward,94,Comedy|Drama,Autonomous,0.0,0.0
1665,Shane West|Edward Burns|Ving Rhames|Martin Sheen|Steven Elder,Greg Marcks,105,Action|Crime|Mystery,Dark Castle Entertainment|Zinc Entertainment Inc.|Mobicom Entertainment,0.0,508356.7427
1666,Michael Douglas|Jesse Metcalfe|Amber Tamblyn|Joel David Moore|Orlando Jones,Peter Hyams,105,Drama,Aramid Entertainment Fund|Autonomous Films|RKO Pictures|Foresight Unlimited|Signature Entertainment,25410010.85,4460537.338
1667,Natalie Portman|Lisa Kudrow|Lauren Ambrose|Anthony Rapp|Scott Cohen,Don Roos,102,Drama,Incentive Filmed Entertainment|Handsomecharlie Films,0.0,0.0
1668,Sarah Michelle Gellar|Lee Pace|Michael Landes|William B. Davis|Tuva Novotny,Joel Bergvall|Simon Sandquist,86,Drama|Thriller|Romance,Vertigo Entertainment|Yari Film Group|Spitfire Pictures|Addicted Productions,0.0,0.0
1669,Martin Freeman|Ashley Jensen|Marc Wootton|Pam Ferris|Jason Watkins,Debbie Isitt,105,Comedy|Family,BBC Films|Screen West Midlands|Mirrorball Films,0.0,0.0
1670,Francesco Scianna|Margareth MadÃ¨|Raoul Bova|Giorgio Faletti|Leo Gullotta,Giuseppe Tornatore,150,Drama|Comedy,Medusa Film,35574015.19,0.0
1671,Bob Peterson|Delroy Lindo|Jerome Ranft|Ed Asner|Jordan Nagai,Ronnie del Carmen,5,Animation|Adventure|Comedy|Family|Fantasy,Pixar Animation Studios,0.0,0.0
1672,Isaac C. Singleton Jr.|Clark Bartram|Damion Poitier|Simon Potter|Erin Gray,Sandy Collora,90,Science Fiction|Thriller,NBV Productions|Montauk Films,431970.1845,0.0
1673,Uma Thurman|Minnie Driver|Anthony Edwards|David Schallipp|Matthew Schallipp,Katherine Dieckmann,90,Comedy|Drama,John Wells Productions,0.0,0.0
1674,RenÃ©e Zellweger|Harry Connick Jr.|J.K. Simmons|Siobhan Fallon|Mike O'Brien,Jonas Elmer,97,Comedy|Romance,Lionsgate|Edmonds Entertainment Group (EEG)|Epidemic Pictures|The Safran Company|Gold Circle Films,8131203.473,29486606.99
1675,Zac Efron|Claire Danes|Christian McKay|Imogen Poots|Zoe Kazan,Richard Linklater,114,Comedy|Drama|Romance,Isle of Man Film|Freestyle Releasing|CinemaNX,25410010.85,2374486.235
1676,Jimmy Bennett|Kat Dennings|Jolie Vanier|William H. Macy|James Spader,Robert Rodriguez,89,Comedy|Family,Warner Bros. Pictures,40656017.36,29447669.71
1677,Michael Shannon|Willem Dafoe|ChloÃ« Sevigny|Brad Dourif|Michael PeÃ±a,Werner Herzog,91,Crime|Drama|Thriller,Defilm,0.0,0.0
1679,Zach Cregger|Trevor Moore|Raquel Alessi|Craig Robinson|Molly Stanton,Zach Cregger|Trevor Moore,89,Comedy|Romance,The Jacobson Company,0.0,0.0
1680,Guy Pearce|Sam Neill|Miranda Otto|Ruth Bradley|Kate Bell,Simone North,107,Drama|Thriller,Screen Australia,7114803.039,0.0
1681,Liam Neeson|James Nesbitt|Anamaria Marinca|Gerard Jordan|Mark Ryder,Oliver Hirschbiegel,89,Crime|Drama|Thriller,BBC Films|BÃ³rd ScannÃ¡n na hÃ‰ireann|Ruby Films|Big Fish Films|Element Pictures,0.0,0.0
1682,Miley Cyrus|Mark Walton|Susie Essman|Malcolm McDowell|Dara McGarry,Nathan Greno,5,Animation|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,0.0,0.0
1683,Hiroki Suzuki|IchirÃ´ta Miyakawa|Natsuki Kasa|Mihiro|Akina Minami,Ryuta Miyake,61,Horror,Cell|Oz Company|Toei Video Company,0.0,0.0
1684,Robin Wright|Alan Arkin|Keanu Reeves|Julianne Moore|Winona Ryder,Rebecca Miller,98,Comedy|Drama|Romance,Elevation Filmworks|Grand Army Entertainment,0.0,0.0
1685,Eddie Murphy|Thomas Haden Church|Yara Shahidi|Ronny Cox|Stephen Rannazzisi,Karey Kirkpatrick,107,Comedy|Drama|Family|Fantasy,Paramount Pictures|Di Bonaventura Pictures|Nickelodeon Movies|Goldcrest Pictures,55902023.88,0.0
1686,Michelle Pfeiffer|Ashton Kutcher|Kathy Bates|Spencer Hudson|John Mann,David Hollander,110,Drama,CinÃ©film AG|Insight Film Studios|Picture Park|TADORA Filmproduktions|Netter Productions,0.0,0.0
1687,Kay Panabaker|Naturi Naughton|Kherington Payne|Megan Mullally|Walter Perez,Kevin Tancharoen,107,Music|Comedy|Drama|Romance,United Artists|Lakeshore Entertainment|Metro-Goldwyn-Mayer (MGM),0.0,0.0
1688,Elizabeth Rice|Thomas Dekker|Kelly Blatz|Laura Allen|Adam Goldberg,Phedon Papamichael,89,Horror|Mystery|Thriller,Burgundy Films,0.0,67545.90725
1689,Kate Nauta|Adrian Paul|Meredith Ostrom|Amanda Douge|Anthony Waller,Anthony Waller,86,Horror|Mystery|Thriller,A-Mark Entertainment,0.0,0.0
1690,Robin Williams,Marty Callner,90,Comedy,CBS Films,0.0,0.0
1691,Dave Foley|Sarah Chalke|Derek Richardson|Mason Vale Cotton|David DeLuise,Kevin Deters|Stevie Wermers,22,Animation|Fantasy|Family,Walt Disney Animation Studios,0.0,0.0
1693,Mischa Barton|Cameron Bright|Deborah Kara Unger|Noam Jenkins|Eugene Clark,Gilles Paquet-Brenner,92,Horror|Thriller,experiences films|Minds Eye Entertainment|Forecast Pictures|Leomax Productions,10164004.34,0.0
1694,Dieter Laser|Ashley C. Williams|Ashlynn Yennie|Akihiro Kitamura|Andreas Leupold,Tom Six,92,Horror,Six Entertainment,2044793.377,0.0
1695,Jackson Rathbone|Shaun Evans|Hanne Steen|Laura Donnelly|Jonathan Readwin,Anthony DiBlasi,108,Horror|Drama|Thriller,Matador Pictures|Midnight Picture Show|Essential Entertainment,0.0,0.0
1696,Justin Chatwin|Joon Park|Jamie Chung|Emmy Rossum|James Marsters,James Wong,85,Action|Adventure|Fantasy|Science Fiction|Thriller,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Star Overseas|Dune Entertainment III,101640043.4,0.0
1697,Julie Delpy|William Hurt|Daniel BrÃ¼hl|Anamaria Marinca|Maria Simon,Julie Delpy,98,Drama|History|Horror,X Filme International|Celluloid Dreams Productions,8639403.69,0.0
1698,Ulrich Tukur|Dagmar Manzel|Steve Buscemi|Daniel BrÃ¼hl|Zhang Jingchu,Florian Gallenberger,134,Drama|History|War,Hofmann & Voges Entertainment|Majestic Filmproduktion|EOS Entertainment|Zweites Deutsches Fernsehen (ZDF)|Pampa Production,20328008.68,0.0
1699,Rumer Willis|Briana Evigan|Jamie Chung|Leah Pipes|Teri Andrzejewski,Stewart Hendler,101,Horror|Mystery|Thriller,Summit Entertainment|Karz Entertainment,12705005.43,27652312.18
1700,Cuba Gooding Jr.|Val Kilmer|Alastair Gamble|Juan Riedinger|Michael Ironside,Ernie Barbarash|Tia Buhl,94,Action|Adventure|Science Fiction|Thriller,Motion Picture Corporation of America|Insight Film Studios,5082002.171,0.0
1701,Morgan Freeman|Christopher Walken|William H. Macy|Joseph McKenna|Wynn Everett,Peter Hewitt,91,Comedy|Crime,Revelations Entertainment|Dog Pond Productions|Yan Film Group|Paris Film,20328008.68,0.0
1702,Mira Sorvino|Victor Garber|Scott Foley|Anthony Lemke|Kenneth Welsh,Paolo Barzman,170,Adventure|Fantasy|Drama|Thriller,Muse Entertainment Enterprises,0.0,0.0
1703,Susan Sarandon|Eva Amurri Martino|Anton Yelchin|Justin Chatwin|Brea Grant,John Stockwell,95,Comedy|Drama,Bold Films|Louisiana Media Productions|Nowhere Films Louisiana Productions,0.0,0.0
1704,Timothy Hutton|Peter Stormare|ChloÃ« Sevigny|Bill Stinchcomb|Nick Cannon,Jonathan Liebesman,93,Drama|Thriller,Management 360,0.0,0.0
1705,Jocelin Donahue|Mary Woronov|Greta Gerwig|AJ Bowen|Heather Robb,Ti West,95,Mystery|Horror,MPI Media Group,0.0,0.0
1706,Milly Rosso|Becky Rosso|Christopher Cousins|Brittany Curran|Chloe Bridges,Savage Steve Holland,86,Comedy|Family,Metro-Goldwyn-Mayer (MGM),0.0,0.0
1707,Chris Wylde|David Anders|Louise Griffiths|Jacy King,D. Kerry Prior ,110,Comedy|Horror,Putrefactory Limited|Wanko Toys,0.0,0.0
1708,Adrien Brody|Emmanuelle Seigner|Elsa Pataky|Robert Miano|Valentina Izumi,Dario Argento,92,Horror|Thriller|Crime|Mystery,Opera Film Produzione|Hannibal Pictures|Media Films|Footprint Investment Fund,14229606.08,0.0
1709,Rachel Specter|Denise Richards|Brendan Hines|Chris Pratt|Blanca Soto,Christian Forte,87,Comedy,Persistent Entertainment,0.0,0.0
1710,Kevin Costner|Ivana Baquero|Gattlin Griffith|Samantha Mathis|Noah Taylor,Luis Berdejo,108,Horror|Thriller,Gold Circle Films|New Daughter Productions,0.0,0.0
1711,Aaron Taylor-Johnson|Kristin Scott Thomas|David Morrissey|Anne-Marie Duff|Sam Bell,Sam Taylor-Johnson,98,Drama,Ecosse Films,0.0,0.0
1713,Talulah Riley|Rupert Everett|Gemma Arterton|David Tennant|Colin Firth,Oliver Parker|Barnaby Thompson,106,Comedy|Adventure,Ealing Studios,0.0,0.0
1714,Winona Ryder|Chevy Chase|Sean Astin|Mark Polish|Jon Cryer,Michael Polish,94,Comedy,Initiate Productions,4573801.954,0.0
1715,Keith David|Joe Manganiello|Channon Roe|Yancey Arias|Chris J. Johnson,Tim Matheson|Reynaldo Rodriguez,94,War|Action|Thriller,20th Century Fox Home Entertainment|WWE Studios,0.0,0.0
1716,Carly Schroeder|Cody Linley|Brie Gabrielle|Chloe Bridges|Micah Alberti,Tyler Oliver,103,Drama|Horror|Romance,Capstone Entertainment Group|Vindicated Pictures,0.0,0.0
1717,Ellen Muth|Jasmine Guy|Callum Blue|Sarah Wynter|Britt McKillip,Stephen Herek,87,Drama|Fantasy|Comedy,Metro-Goldwyn-Mayer (MGM),0.0,0.0
1718,Eliza Dushku|Mike Vogel|Lilliam Kouri|Naike Rivelli|Ethan Rains,Ãlvaro de ArmiÃ±Ã¡n,88,Horror|Thriller,Open Pictures|Alchemedia Films|Manufacturas Audiovisuales|CoproducciÃ³n EspaÃ±a-USA,6606602.822,0.0
1719,Cuba Gooding Jr.|Kimberly Elise|Aunjanue Ellis|Ele Bardha|Loren Bass,Thomas Carter,86,Drama,The Hatchery|Sony Pictures Television|Magna Global Entertainment|Johnson & Johnson Spotlight Presentations|Thomas Carter Company,0.0,0.0
1721,Selena Gomez|Demi Lovato|Jamie Chung|Nicholas Braun|Kevin G. Schmidt,Allison Liddi-Brown,89,Comedy|Drama|Family,Disney Channel,0.0,0.0
1722,Michelle Pfeiffer|Kathy Bates|Rupert Friend|Felicity Jones|Iben Hjejle,Stephen Frears,86,Drama|Comedy|Romance,PathÃ© Renn Productions|UK Film Council|Aramid Entertainment Fund|Canal+|Bill Kenwright Films,23377209.98,9519837.189
1723,Gerard Butler,Mike Smith|Daniel DelPurgatorio,26,Animation|Horror|Action,Warner Premiere,0.0,0.0
1724,David Duchovny|Demi Moore|Amber Heard|Benjamin Hollingsworth|Lauren Hutton,Derrick Borte,96,Comedy|Drama,Echo Lake Productions|Premiere Picture,10164004.34,7137903.788
1725,Jeff Daniels|Lauren Graham|Lou Taylor Pucci|Kat Dennings|Olivia Thirlby,John Hindman,95,Comedy|Romance,Messick Films|iDeal Partners Film Fund|120dB Films,0.0,0.0
1726,Guillaume Canet|GÃ©raldine Pailhas|Stephen Rea|Hippolyte Girardot|Archie Panjabi,Nicolas Saada,99,Drama|Romance|Thriller,France 2 CinÃ©ma|Mars Distribution|The Film|Studio 37,0.0,0.0
1727,Erin Karpluk|James Van Der Beek|Doris Roberts|Michael Strusievici|Valin Shinyei,Michael Scott,90,Comedy|Fantasy|Romance|TV Movie,The Hallmark Channel|Dan Wigutow Productions|KZ Productions,0.0,0.0
1728,Nicholas D'Agosto|Eric Christian Olsen|Sarah Roemer|Molly Sims|Danneel Ackles,Will Gluck,90,Comedy|Romance,"Screen Gems|Moving Pictures, DPI",20328008.68,18904135.35
1729,Rupert Grint|Robert Sheehan|Kimberley Nixon|James Nesbitt,Lisa Barros D'Sa|Glenn Leyburn,86,Drama|Romance|Thriller,Generator Entertainment,0.0,0.0
1730,RenÃ©e Zellweger|Logan Lerman|Kevin Bacon|Troy Garity|David Koechner,Richard Loncraine,108,Comedy|Drama,Herrick Entertainment,0.0,2520203.5
1731,Paul Anderson|Calum MacNab|Daniel Mays|Doug Allen|Joe Jackson,Nick Love,90,Drama,Vertigo Films,0.0,0.0
1732,Meg Ryan|Timothy Hutton|Kristen Bell|Justin Long|Andy Ostroy,Cheryl Hines,84,Action|Comedy|Romance,Magnolia Pictures|Night and Day Pictures|All For A Films,0.0,0.0
1733,Salman Khan|Ayesha Takia|Mahesh Manjrekar|Prakash Raj|Vinod Khanna,Prabhu Deva,129,Action|Comedy|Crime|Thriller,Sahara One Motion Pictures,76.23003256,136.1976582
1734,Robin Williams|Alexie Gilmore|Daryl Sabara|Geoff Pierson|Henry Simmons,Bobcat Goldthwait,99,Comedy|Romance,Magnolia Pictures|Jerkschool Productions,10164004.34,300600.4284
1735,DJ Qualls|Preston Jones|Julianna Guill|Mary Cobb|Kaira Akita,Steve Rash,96,Comedy,Paramount Famous Productions,0.0,0.0
1736,Sasha Grey|Chris Santos|Peter Zizzo|Timothy J. Cox|Timothy Davis,Steven Soderbergh,77,Comedy|Drama,2929 Productions|Magnolia Pictures|Extension 765,1727880.738,1024493.014
1737,Edward Furlong|Shannon Elizabeth|Monica Keena|Diora Baird|Michael Copon,Adam Gierasch,93,Horror,Seven Arts Pictures|Project 8 Films|Cold Fusion Media Group|Parallel Media|Voodoo Production Services,10164004.34,0.0
1739,Oren Skoog|Joshua Miller|Patrick Casey|Jennifer Lyons|Tony Denman,David Hillenbrand|Scott Hillenbrand,92,Comedy|Horror,Film Rock|Hill & Brand Entertainment,0.0,268269.747
1740,Steve Austin|Lynda Boyd|Laura Vandervoort|Walton Goggins|William B. Davis,Jeff King,102,Action|Thriller,"Insight Film Studios|Nasser Group, North|NGN Fighter Productions",0.0,0.0
1741,Ashley Greene|Peter Mooney|Barbara Niven|Stephen McHattie|Peter Michael Dillon,Lee Demarbre,91,Horror|Thriller,Lionsgate|Zed Filmworks,0.0,0.0
1742,Paul Giamatti|Emily Watson|Dina Korzun|David Strathairn|Katheryn Winnick,Sophie Barthes,101,Fantasy|Drama|Comedy|Science Fiction,Journeyman Pictures|Winner Arts|Touchy Feely Films|Memento Films Production|Arte France CinÃ©ma,0.0,0.0
1743,Chris Carmack|Laura Vandervoort|Audrina Patridge|Marsha Thomason|David Anders,Stephen Herek,92,Action,Mandalay Pictures|Brookwell-McNamara Entertainment|MGM Home Entertainment|Metro-Goldwyn-Mayer (MGM),0.0,0.0
1744,Steven Seagal|Mike Dopud|Hugo Steele|Byron Mann|Jesse Hutch,Keoni Waxman,94,Action|Adventure|Thriller,My Own Worst Enemy,6606602.822,0.0
1745,Johnny Depp|John Densmore|Robby Krieger|Ray Manzarek|Jim Morrison,Tom DiCillo,86,Documentary|Music,Wolf Films|Strange Pictures,0.0,0.0
1746,Alfred Molina|Hope Davis|Shane West|Donal Logue|Philip Baker Hall,David Ondaatje,96,Horror|Mystery|Thriller,Merchant Pacific Corporation,0.0,0.0
